ENV,REP,GEN,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
E4,1,HD3255,91,131,40,94,10.3,2.34,54,552,1292,2703,43.33
E4,1,DW1633,92,132,40,101,10.5,2.64,67,550,1452,3520,39.4
E4,1,DW1634,89,130,41,99,11,2.26,55,580,1311,3420,41.09
E4,1,DW1635,90,132,42,96,10.8,2.7,69,555,1499,2840,39.13
E4,1,HD3090,90,130,40,88,10,2.36,66,462,1090,2910,35.76
E4,1,HD3262,89,128,39,106,11.3,2.7,63,550,1485,3400,42.86
E4,1,DW1636,90,132,42,88,11.5,2.33,64,546,1272,2805,36.41
E4,1,DW1637,88,129,41,82,5.5,2.65,65,594,1576,3000,40.83
E4,1,DW1638,91,127,36,84,11,2.38,64,415,987,2290,37.15
E4,1,DW1639,90,128,38,90,9.3,2.44,58,532,1296,2760,42.02
E4,1,DW1640,89,128,39,94,8,2.74,72,502,1377,2840,38
E4,1,HD3318,86,125,39,98,10.8,2.91,74,530,1543,2900,39.34
E4,1,HD3265,85,125,40,88,9,1.82,34,630,1147,2820,53.53
E4,1,DW1642,90,131,41,89,10.3,2.25,53,599,1348,3140,42.45
E4,1,DW1643,92,131,39,95,9.3,2.57,59,530,1363,2325,43.58
E4,1,DW1644,90,132,42,98,10,2.59,60,560,1449,2600,43.12
E4,1,DW1645,89,126,37,101,11.3,2.59,58,580,1504,3720,44.72
E4,1,HD3059,91,129,38,98,10.3,2.04,59,390,795,2300,34.54
E4,1,HD3266,90,129,39,100,10.5,1.94,56,696,1353,3041,34.71
E4,1,DW1615,91,132,41,93,9.8,2,56,580,1160,3321,35.71
E4,1,HDCSW18,94,129,35,96,11.9,2.96,71,502,1487,2300,41.72
E4,2,HD3171,89,129,40,98,11.9,2.75,70,558,1535,3090,39.29
E4,2,DW1616,91,131,40,101,9,2.5,62,510,1275,2498,40.32
E4,2,HD2864,89,124,35,96,10.9,2.48,70,590,1463,3520,35.43
E4,2,HD3086,80,119,39,94,8.8,1.19,47,690,822,2590,25.35
E4,2,HD3249,87,128,41,101,10.3,2.42,60,535,1294,3210,40.31
E4,2,DW1627,82,119,37,106,8,1.78,49,680,1208,3120,36.25
E4,2,DW1628,85,124,39,100,10.4,2.74,61,499,1366,2448,44.89
E4,2,DW1629,89,127,38,89,7.3,1.81,42,598,1080,2970,43.21
E4,2,HD3184,91,132,41,96,8.8,2.3,59,618,1419,3060,38.91
E4,2,HD3252,88,125,37,98,9.8,2.98,65,450,1341,2589,45.85
E4,2,DW1630,90,130,40,98,12.4,2,58,570,1140,3439,34.48
E4,2,HD2932,91,154,63,89,10.4,2.2,59,530,1166,2400,37.29
E4,2,DW1631,91,127,36,100,9.4,2.54,56,630,1600,3360,45.35
E4,2,DW1632,93,132,39,91,10,2.1,52,475,998,2390,40.42
E4,2,WR544,76,114,38,98,10.3,1.55,48,495,766,2320,32.25
E4,2,HD3255,92,134,42,94,10.4,2.23,53,546,1218,2730,42.08
E4,2,DW1633,91,129,38,101,10.3,2.61,63,545,1422,3490,41.43
E4,2,DW1634,88,130,42,100,10.3,2,52,570,1139,3410,38.43
E4,2,DW1635,92,135,43,95,10.6,2.6,68,550,1431,2820,38.37
E4,2,HD3090,91,134,43,88,10,2.3,64,480,1102,2880,35.86
E4,2,HD3262,88,128,40,105,11.6,2.65,59,530,1405,3390,44.92
E4,2,DW1636,92,138,46,89,11.8,2.25,62,536,1206,2720,36.29
E4,2,DW1637,89,132,43,84,7.5,2.21,60,552,1219,2920,36.8
E4,2,DW1638,90,128,38,83,10.5,2.04,63,420,858,2300,32.41
E4,2,DW1639,89,127,38,91,9.6,2.1,56,550,1154,2730,37.47
E4,2,DW1640,87,123,36,95,8.3,2.61,71,492,1284,2790,36.87
E4,2,HD3318,87,129,42,99,11.4,2.81,73,532,1493,2890,38.66
E4,2,HD3265,86,122,36,89,9.3,1.72,33,628,1080,2802,52.12
E4,2,DW1642,91,133,42,89,10.1,2.3,54,598,1375,3200,42.59
E4,2,DW1643,92,135,43,98,9.8,2.18,58,552,1204,2560,37.61
E4,2,DW1644,93,133,40,95,9.6,2.13,58,498,1063,2300,36.8
E4,2,DW1645,87,125,38,101,11.6,2.5,57,592,1479,3600,43.83
E4,2,HD3059,90,132,42,97,10.6,2.31,61,380,879,2235,37.93
E4,2,HD3266,91,131,40,100,11.3,2,58,660,1320,3020,34.48
E4,2,DW1615,90,129,39,94,9.9,2.15,54,600,1292,3400,40.18
E4,2,HDCSW18,95,134,39,95,12,2.91,70,492,1434,2280,41.64
E4,3,HD3171,89,129,41,97,11.8,2.75,70,569,1566,3095,39.61
E4,3,DW1616,92,131,40,101,9,2.55,63,531,1354,2504,40.8
E4,3,HD2864,90,125,35,96,10.8,2.43,70,582.5,1415,3560,34.96
E4,3,HD3086,80,121,41,94,8.6,1.17,47,675,786,2620,25.06
E4,3,HD3249,87,127,41,101,10.1,2.46,60,537.5,1324,3240,41.41
E4,3,DW1627,81,120,39,105,7.8,1.8,52,666,1196,3109,34.87
E4,3,DW1628,86,125,39,100,10.3,2.7,64,499.5,1351,2474,42.26
E4,3,DW1629,89,127,39,89,7.4,1.79,43,599,1075,3015,41.64
E4,3,HD3184,92,132,40,96,8.6,2.29,58,609,1394,2985,39.18
E4,3,HD3252,88,126,38,98,9.6,2.99,67,449,1343,2599.5,44.63
E4,3,DW1630,91,131,40,98,12.3,2.06,61,575,1185,3469.5,34.05
E4,3,HD2932,91,155,65,89,10.3,2.22,60,535,1185,2370,36.92
E4,3,DW1631,92,129,37,100,9.3,2.5,57,627.5,1569,3375,43.86
E4,3,DW1632,93,132,39,91,9.9,2,53,477.5,955,2395,37.74
E4,3,WR544,75,115,40,98,9.9,1.68,48,497.5,835,2330,34.95
E4,3,HD3255,92,133,41,94,10.3,2.29,54,549,1254,2716.5,42.71
E4,3,DW1633,92,131,39,101,10.4,2.63,65,547.5,1437,3505,40.38
E4,3,DW1634,89,130,42,99,10.6,2.13,54,575,1224,3415,39.8
E4,3,DW1635,91,134,43,95,10.7,2.65,68,552.5,1465,2830,38.76
E4,3,HD3090,91,132,42,88,10,2.33,65,471,1096,2895,35.81
E4,3,HD3262,89,128,40,105,11.4,2.68,61,540,1445,3395,43.85
E4,3,DW1636,91,135,44,88,11.6,2.29,63,541,1239,2762.5,36.35
E4,3,DW1637,89,131,42,83,6.5,2.43,63,573,1393,2960,38.9
E4,3,DW1638,91,128,37,83,10.8,2.21,64,417.5,923,2295,34.8
E4,3,DW1639,90,128,38,90,9.4,2.27,57,541,1227,2745,39.78
E4,3,DW1640,88,126,38,94,8.1,2.68,72,497,1330,2815,37.44
E4,3,HD3318,87,127,41,99,11.1,2.86,73,531,1518,2895,39
E4,3,HD3265,86,124,38,88,9.1,1.77,34,629,1113,2811,52.84
E4,3,DW1642,91,132,42,89,10.2,2.28,54,598.5,1362,3170,42.52
E4,3,DW1643,93,132,40,95,9.4,2.35,59,514,1209,2312.5,40.22
E4,3,DW1644,91,134,43,98,9.9,2.38,59,556,1326,2580,40.41
E4,3,DW1645,88,126,38,101,11.4,2.55,58,586,1492,3660,44.28
E4,3,HD3059,91,131,40,97,10.4,2.18,60,385,838,2267.5,36.26
E4,3,HD3266,91,130,40,100,10.9,1.97,57,678,1337,3030.5,34.59
E4,3,DW1615,91,131,40,93,9.8,2.08,55,590,1225,3360.5,37.9
E4,3,HDCSW18,95,132,37,95,11.9,2.94,71,497,1460,2290,41.68
E5,1,HD3171,79,108,29,75,9.4,1.86,41,636,1183,2175,45.37
E5,1,DW1616,82,116,34,76,9.6,2.06,50,660,1360,2580,41.2
E5,1,HD2864,81,109,28,75,9.3,1.94,50,525,1019,1992,38.8
E5,1,HD3086,77,106,29,74,9.3,1.77,49,672,1189,1890,36.12
